index;Mean
20 - POWER;1.9523809523809523
20 - TENSION ;1.7142857142857142
20 - SADNESS ;2.380952380952381
21 - WONDER ;1.8571428571428572
21 - TRANSCENDENCE ;4.238095238095238
21 - NOSTALGIA;1.7142857142857142
21 - TENDERNESS;0.6190476190476191
21 - PEACEFULNESS;0.23809523809523808
21 - JOY ;0.8571428571428571
21 - POWER;6.428571428571429
21 - TENSION ;6.666666666666667
21 - SADNESS ;1.8095238095238095
22 - WONDER ;1.8095238095238095
22 - TRANSCENDENCE ;2.142857142857143
22- NOSTALGIA;1.2857142857142858
22 - TENDERNESS;0.47619047619047616
22 - PEACEFULNESS;0.5714285714285714
22 - JOY ;1.3333333333333333
22 - POWER;3.3333333333333335
22 - TENSION ;4.571428571428571
22 - SADNESS ;1.5238095238095237
23 - WONDER ;3.0952380952380953
23 - TRANSCENDENCE ;2.4761904761904763
23 - NOSTALGIA;4.809523809523809
23 - TENDERNESS;3.2857142857142856
23 - PEACEFULNESS;2.238095238095238
23 - JOY ;2.6666666666666665
23 - POWER;1.380952380952381
23 - TENSION ;1.5714285714285714
23 - SADNESS ;1.0476190476190477
24 - WONDER ;1.380952380952381
24 - TRANSCENDENCE ;0.9047619047619048
24 - NOSTALGIA;3.5714285714285716
24 - TENDERNESS;2.6666666666666665
24 - PEACEFULNESS;5.095238095238095
24 - JOY ;1.0476190476190477
24 - POWER;0.3333333333333333
24 - TENSION ;0.38095238095238093
24 - SADNESS ;2.9047619047619047
25 - WONDER ;3.2857142857142856
25 - TRANSCENDENCE ;5.0
25 - NOSTALGIA;1.6666666666666667
25 - TENDERNESS;0.7619047619047619
25 - PEACEFULNESS;0.3333333333333333
25 - JOY ;6.142857142857143
25 - POWER;7.333333333333333
25 - TENSION ;4.0
25 - SADNESS ;0.23809523809523808
26 - WONDER ;4.190476190476191
26 - TRANSCENDENCE ;3.0476190476190474
26 - NOSTALGIA;2.619047619047619
26 - TENDERNESS;1.1428571428571428
26 - PEACEFULNESS;1.1904761904761905
26 - JOY ;2.5714285714285716
26 - POWER;2.761904761904762
26 - TENSION ;3.857142857142857
26 - SADNESS ;1.1904761904761905
27 - WONDER ;1.5238095238095237
27 - TRANSCENDENCE ;2.761904761904762
27 - NOSTALGIA;1.4285714285714286
27 - TENDERNESS;0.6190476190476191
27 - PEACEFULNESS;0.8095238095238095
27 - JOY ;1.1428571428571428
27 - POWER;1.0476190476190477
27 - TENSION ;5.285714285714286
27 - SADNESS ;0.7619047619047619
28 - WONDER ;2.4285714285714284
28 - TRANSCENDENCE ;1.9523809523809523
28 - NOSTALGIA;4.476190476190476
28 - TENDERNESS;3.761904761904762
28 - PEACEFULNESS;4.476190476190476
28 - JOY ;1.0476190476190477
28 - POWER;0.7142857142857143
28 - TENSION ;0.8095238095238095
28 - SADNESS ;2.857142857142857
29 - WONDER ;2.9523809523809526
29 - TRANSCENDENCE ;3.9047619047619047
29 - NOSTALGIA;1.6666666666666667
29 - TENDERNESS;1.0952380952380953
29 - PEACEFULNESS;0.7142857142857143
29 - JOY ;5.761904761904762
29 - POWER;6.666666666666667
29 - TENSION ;3.0
29 - SADNESS ;0.2857142857142857
30 - WONDER ;3.8095238095238093
30 - TRANSCENDENCE ;3.0476190476190474
30 - NOSTALGIA;3.1904761904761907
30 - TENDERNESS;1.9523809523809523
30 - PEACEFULNESS;2.0476190476190474
30 - JOY ;1.1904761904761905
30 - POWER;2.142857142857143
30 - TENSION ;1.8571428571428572
30 - SADNESS ;1.7142857142857142
Confidence level:;3.761904761904762
Unnamed: 313;0.0
